,trx,item
0,0,shrimp
1,0,almonds
2,0,avocado
3,0,vegetables mix
4,0,green grapes
5,0,whole weat flour
6,0,yams
7,0,cottage cheese
8,0,energy drink
9,0,tomato juice
10,0,low fat yogurt
11,0,green tea
12,0,honey
13,0,salad
14,0,mineral water
15,0,salmon
16,0,antioxydant juice
17,0,frozen smoothie
18,0,spinach
19,0,olive oil
20,1,burgers
21,1,meatballs
22,1,eggs
23,2,chutney
24,3,turkey
25,3,avocado
26,4,mineral water
27,4,milk
28,4,energy bar
29,4,whole wheat rice
30,4,green tea
31,5,low fat yogurt
32,6,whole wheat pasta
33,6,french fries
34,7,soup
35,7,light cream
36,7,shallot
37,8,frozen vegetables
38,8,spaghetti
39,8,green tea
40,9,french fries
41,10,eggs
42,10,pet food
43,11,cookies
44,12,turkey
45,12,burgers
46,12,mineral water
47,12,eggs
48,12,cooking oil
49,13,spaghetti
50,13,champagne
51,13,cookies
52,14,mineral water
53,14,salmon
54,15,mineral water
55,16,shrimp
56,16,chocolate
57,16,chicken
58,16,honey
59,16,oil
60,16,cooking oil
61,16,low fat yogurt
62,17,turkey
63,17,eggs
64,18,turkey
65,18,fresh tuna
66,18,tomatoes
67,18,spaghetti
68,18,mineral water
69,18,black tea
70,18,salmon
71,18,eggs
72,18,chicken
73,18,extra dark chocolate
74,19,meatballs
75,19,milk
76,19,honey
77,19,french fries
78,19,protein bar
79,20,red wine
80,20,shrimp
81,20,pasta
82,20,pepper
83,20,eggs
84,20,chocolate
85,20,shampoo
86,21,rice
87,21,sparkling water
88,22,spaghetti
89,22,mineral water
90,22,ham
91,22,body spray
92,22,pancakes
93,22,green tea
94,23,burgers
95,23,grated cheese
96,23,shrimp
97,23,pasta
98,23,avocado
99,23,honey
100,23,white wine
101,23,toothpaste
102,24,eggs
103,25,parmesan cheese
104,25,spaghetti
105,25,soup
106,25,avocado
107,25,milk
108,25,fresh bread
109,26,ground beef
110,26,spaghetti
111,26,mineral water
112,26,milk
113,26,energy bar
114,26,black tea
115,26,salmon
116,26,frozen smoothie
117,26,escalope
118,27,sparkling water
119,28,mineral water
120,28,eggs
121,28,chicken
122,28,chocolate
123,28,french fries
